"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\dheen\Desktop\UFin\ufin\lib\models\exp_dummy_data.dart", "Dart", -84, 96, 2, 14
"c:\Users\dheen\Desktop\UFin\ufin\lib\models\expences_modes.dart", "Dart", 24, 0, 3, 27
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\payment-screen\addbudget\add_budget.dart", "Dart", 277, 3, 20, 300
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\payment-screen\expences_listview.dart", "Dart", 77, 0, 8, 85
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\payment-screen\payment_screen.dart", "Dart", 8, 0, 1, 9
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\planner-screen\budget\barchart\budget_barChart.dart", "Dart", -212, -1, -11, -224
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\planner-screen\budget\barchart\budget_barchart.dart", "Dart", 295, 0, 30, 325
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\planner-screen\budget\budget_builder.dart", "Dart", 83, 0, 3, 86
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\planner-screen\text_ingtits.dart", "Dart", 141, 15, 0, 156
"c:\Users\dheen\Desktop\UFin\ufin\lib\screens\setup-screens\budget\budget_info.dart", "Dart", 14, 0, 2, 16
"Total", "-", 623, 113, 58, 794